AuthorName	TitleName	TagName
Ibsen, Henrik	The lady from the sea	Literatura Universal
Ibsen, Henrik	La dama del mar	Literatura Universal
Ibsen, Henrik	Casa de muñecas	Literatura Universal
Ibsen, Henrik	A Doll's House	Literatura Universal
