AuthorName	TitleName	TagName
Caballero, Fernán	La Mitología contada a los niños	Infantil y juvenil
Caballero, Fernán	El lobo bobo y la zorra astuta	Literatura Universal
Caballero, Fernán	El lobo bobo y la zorra astuta	Literatura Hispanoamericana
Caballero, Fernán	El lobo bobo y la zorra astuta	Infantil y juvenil
Caballero, Fernán	Cuentos adivinanzas y refranes populares	Literatura Hispanoamericana
